"Gender","Age.Group","Fit.Bound","Effect","Excess Mortality"
"Female","<1","fit","Direct Effects",0
"Female","1-4","fit","Direct Effects",1
"Female","5-9","fit","Direct Effects",1
"Female","10-14","fit","Direct Effects",1
"Female","15-19","fit","Direct Effects",5
"Female","20-24","fit","Direct Effects",15
"Female","25-29","fit","Direct Effects",26
"Female","30-34","fit","Direct Effects",49
"Female","35-39","fit","Direct Effects",85
"Female","40-44","fit","Direct Effects",146
"Female","45-49","fit","Direct Effects",268
"Female","50-54","fit","Direct Effects",478
"Female","55-59","fit","Direct Effects",755
"Female","60-64","fit","Direct Effects",1105
"Female","65-69","fit","Direct Effects",1607
"Female","70-74","fit","Direct Effects",2743
"Female","75-79","fit","Direct Effects",4234
"Female","80-84","fit","Direct Effects",6493
"Female","85-89","fit","Direct Effects",7914
"Female","90+","fit","Direct Effects",10248
"Female","<1","fit","Indirect Effects",-11
"Female","1-4","fit","Indirect Effects",-41
"Female","5-9","fit","Indirect Effects",-49
"Female","10-14","fit","Indirect Effects",9
"Female","15-19","fit","Indirect Effects",21
"Female","20-24","fit","Indirect Effects",-80
"Female","25-29","fit","Indirect Effects",-41
"Female","30-34","fit","Indirect Effects",-15
"Female","35-39","fit","Indirect Effects",122
"Female","40-44","fit","Indirect Effects",200
"Female","45-49","fit","Indirect Effects",68
"Female","50-54","fit","Indirect Effects",375
"Female","55-59","fit","Indirect Effects",128
"Female","60-64","fit","Indirect Effects",71
"Female","65-69","fit","Indirect Effects",1153
"Female","70-74","fit","Indirect Effects",-369
"Female","75-79","fit","Indirect Effects",1349
"Female","80-84","fit","Indirect Effects",-103
"Female","85-89","fit","Indirect Effects",1983
"Female","90+","fit","Indirect Effects",3660
"Female","<1","fit","Net Effects",-11
"Female","1-4","fit","Net Effects",-40
"Female","5-9","fit","Net Effects",-48
"Female","10-14","fit","Net Effects",10
"Female","15-19","fit","Net Effects",26
"Female","20-24","fit","Net Effects",-65
"Female","25-29","fit","Net Effects",-15
"Female","30-34","fit","Net Effects",34
"Female","35-39","fit","Net Effects",207
"Female","40-44","fit","Net Effects",346
"Female","45-49","fit","Net Effects",336
"Female","50-54","fit","Net Effects",853
"Female","55-59","fit","Net Effects",883
"Female","60-64","fit","Net Effects",1176
"Female","65-69","fit","Net Effects",2760
"Female","70-74","fit","Net Effects",2374
"Female","75-79","fit","Net Effects",5583
"Female","80-84","fit","Net Effects",6390
"Female","85-89","fit","Net Effects",9897
"Female","90+","fit","Net Effects",13908
"Female","<1","lwr","Direct Effects",0
"Female","1-4","lwr","Direct Effects",1
"Female","5-9","lwr","Direct Effects",1
"Female","10-14","lwr","Direct Effects",1
"Female","15-19","lwr","Direct Effects",5
"Female","20-24","lwr","Direct Effects",15
"Female","25-29","lwr","Direct Effects",26
"Female","30-34","lwr","Direct Effects",49
"Female","35-39","lwr","Direct Effects",85
"Female","40-44","lwr","Direct Effects",146
"Female","45-49","lwr","Direct Effects",268
"Female","50-54","lwr","Direct Effects",478
"Female","55-59","lwr","Direct Effects",755
"Female","60-64","lwr","Direct Effects",1105
"Female","65-69","lwr","Direct Effects",1607
"Female","70-74","lwr","Direct Effects",2743
"Female","75-79","lwr","Direct Effects",4234
"Female","80-84","lwr","Direct Effects",6493
"Female","85-89","lwr","Direct Effects",7914
"Female","90+","lwr","Direct Effects",10248
"Female","<1","lwr","Indirect Effects",-212
"Female","1-4","lwr","Indirect Effects",-134
"Female","5-9","lwr","Indirect Effects",-131
"Female","10-14","lwr","Indirect Effects",-27
"Female","15-19","lwr","Indirect Effects",-121
"Female","20-24","lwr","Indirect Effects",-197
"Female","25-29","lwr","Indirect Effects",-170
"Female","30-34","lwr","Indirect Effects",-199
"Female","35-39","lwr","Indirect Effects",-59
"Female","40-44","lwr","Indirect Effects",-91
"Female","45-49","lwr","Indirect Effects",-290
"Female","50-54","lwr","Indirect Effects",26
"Female","55-59","lwr","Indirect Effects",-924
"Female","60-64","lwr","Indirect Effects",-742
"Female","65-69","lwr","Indirect Effects",-310
"Female","70-74","lwr","Indirect Effects",-1616
"Female","75-79","lwr","Indirect Effects",-385
"Female","80-84","lwr","Indirect Effects",-4708
"Female","85-89","lwr","Indirect Effects",-4769
"Female","90+","lwr","Indirect Effects",-7360
"Female","<1","lwr","Net Effects",-212
"Female","1-4","lwr","Net Effects",-133
"Female","5-9","lwr","Net Effects",-130
"Female","10-14","lwr","Net Effects",-26
"Female","15-19","lwr","Net Effects",-116
"Female","20-24","lwr","Net Effects",-182
"Female","25-29","lwr","Net Effects",-144
"Female","30-34","lwr","Net Effects",-150
"Female","35-39","lwr","Net Effects",26
"Female","40-44","lwr","Net Effects",55
"Female","45-49","lwr","Net Effects",-22
"Female","50-54","lwr","Net Effects",504
"Female","55-59","lwr","Net Effects",-169
"Female","60-64","lwr","Net Effects",363
"Female","65-69","lwr","Net Effects",1297
"Female","70-74","lwr","Net Effects",1127
"Female","75-79","lwr","Net Effects",3849
"Female","80-84","lwr","Net Effects",1785
"Female","85-89","lwr","Net Effects",3145
"Female","90+","lwr","Net Effects",2888
"Female","<1","upr","Direct Effects",0
"Female","1-4","upr","Direct Effects",1
"Female","5-9","upr","Direct Effects",1
"Female","10-14","upr","Direct Effects",1
"Female","15-19","upr","Direct Effects",5
"Female","20-24","upr","Direct Effects",15
"Female","25-29","upr","Direct Effects",26
"Female","30-34","upr","Direct Effects",49
"Female","35-39","upr","Direct Effects",85
"Female","40-44","upr","Direct Effects",146
"Female","45-49","upr","Direct Effects",268
"Female","50-54","upr","Direct Effects",478
"Female","55-59","upr","Direct Effects",755
"Female","60-64","upr","Direct Effects",1105
"Female","65-69","upr","Direct Effects",1607
"Female","70-74","upr","Direct Effects",2743
"Female","75-79","upr","Direct Effects",4234
"Female","80-84","upr","Direct Effects",6493
"Female","85-89","upr","Direct Effects",7914
"Female","90+","upr","Direct Effects",10248
"Female","<1","upr","Indirect Effects",191
"Female","1-4","upr","Indirect Effects",53
"Female","5-9","upr","Indirect Effects",33
"Female","10-14","upr","Indirect Effects",46
"Female","15-19","upr","Indirect Effects",163
"Female","20-24","upr","Indirect Effects",38
"Female","25-29","upr","Indirect Effects",87
"Female","30-34","upr","Indirect Effects",169
"Female","35-39","upr","Indirect Effects",303
"Female","40-44","upr","Indirect Effects",492
"Female","45-49","upr","Indirect Effects",427
"Female","50-54","upr","Indirect Effects",723
"Female","55-59","upr","Indirect Effects",1180
"Female","60-64","upr","Indirect Effects",884
"Female","65-69","upr","Indirect Effects",2615
"Female","70-74","upr","Indirect Effects",879
"Female","75-79","upr","Indirect Effects",3083
"Female","80-84","upr","Indirect Effects",4501
"Female","85-89","upr","Indirect Effects",8736
"Female","90+","upr","Indirect Effects",14680
"Female","<1","upr","Net Effects",191
"Female","1-4","upr","Net Effects",54
"Female","5-9","upr","Net Effects",34
"Female","10-14","upr","Net Effects",47
"Female","15-19","upr","Net Effects",168
"Female","20-24","upr","Net Effects",53
"Female","25-29","upr","Net Effects",113
"Female","30-34","upr","Net Effects",218
"Female","35-39","upr","Net Effects",388
"Female","40-44","upr","Net Effects",638
"Female","45-49","upr","Net Effects",695
"Female","50-54","upr","Net Effects",1201
"Female","55-59","upr","Net Effects",1935
"Female","60-64","upr","Net Effects",1989
"Female","65-69","upr","Net Effects",4222
"Female","70-74","upr","Net Effects",3622
"Female","75-79","upr","Net Effects",7317
"Female","80-84","upr","Net Effects",10994
"Female","85-89","upr","Net Effects",16650
"Female","90+","upr","Net Effects",24928
"Male","<1","fit","Direct Effects",2
"Male","1-4","fit","Direct Effects",0
"Male","5-9","fit","Direct Effects",0
"Male","10-14","fit","Direct Effects",4
"Male","15-19","fit","Direct Effects",6
"Male","20-24","fit","Direct Effects",19
"Male","25-29","fit","Direct Effects",44
"Male","30-34","fit","Direct Effects",68
"Male","35-39","fit","Direct Effects",110
"Male","40-44","fit","Direct Effects",223
"Male","45-49","fit","Direct Effects",426
"Male","50-54","fit","Direct Effects",806
"Male","55-59","fit","Direct Effects",1431
"Male","60-64","fit","Direct Effects",2136
"Male","65-69","fit","Direct Effects",2989
"Male","70-74","fit","Direct Effects",4890
"Male","75-79","fit","Direct Effects",6832
"Male","80-84","fit","Direct Effects",8881
"Male","85-89","fit","Direct Effects",8633
"Male","90+","fit","Direct Effects",7156
"Male","<1","fit","Indirect Effects",-118
"Male","1-4","fit","Indirect Effects",11
"Male","5-9","fit","Indirect Effects",25
"Male","10-14","fit","Indirect Effects",-57
"Male","15-19","fit","Indirect Effects",-6
"Male","20-24","fit","Indirect Effects",-91
"Male","25-29","fit","Indirect Effects",-127
"Male","30-34","fit","Indirect Effects",-13
"Male","35-39","fit","Indirect Effects",97
"Male","40-44","fit","Indirect Effects",475
"Male","45-49","fit","Indirect Effects",316
"Male","50-54","fit","Indirect Effects",356
"Male","55-59","fit","Indirect Effects",505
"Male","60-64","fit","Indirect Effects",659
"Male","65-69","fit","Indirect Effects",1614
"Male","70-74","fit","Indirect Effects",-616
"Male","75-79","fit","Indirect Effects",1452
"Male","80-84","fit","Indirect Effects",-786
"Male","85-89","fit","Indirect Effects",231
"Male","90+","fit","Indirect Effects",-143
"Male","<1","fit","Net Effects",-116
"Male","1-4","fit","Net Effects",11
"Male","5-9","fit","Net Effects",25
"Male","10-14","fit","Net Effects",-53
"Male","15-19","fit","Net Effects",0
"Male","20-24","fit","Net Effects",-72
"Male","25-29","fit","Net Effects",-83
"Male","30-34","fit","Net Effects",55
"Male","35-39","fit","Net Effects",207
"Male","40-44","fit","Net Effects",698
"Male","45-49","fit","Net Effects",742
"Male","50-54","fit","Net Effects",1162
"Male","55-59","fit","Net Effects",1936
"Male","60-64","fit","Net Effects",2795
"Male","65-69","fit","Net Effects",4603
"Male","70-74","fit","Net Effects",4274
"Male","75-79","fit","Net Effects",8284
"Male","80-84","fit","Net Effects",8095
"Male","85-89","fit","Net Effects",8864
"Male","90+","fit","Net Effects",7013
"Male","<1","lwr","Direct Effects",2
"Male","1-4","lwr","Direct Effects",0
"Male","5-9","lwr","Direct Effects",0
"Male","10-14","lwr","Direct Effects",4
"Male","15-19","lwr","Direct Effects",6
"Male","20-24","lwr","Direct Effects",19
"Male","25-29","lwr","Direct Effects",44
"Male","30-34","lwr","Direct Effects",68
"Male","35-39","lwr","Direct Effects",110
"Male","40-44","lwr","Direct Effects",223
"Male","45-49","lwr","Direct Effects",426
"Male","50-54","lwr","Direct Effects",806
"Male","55-59","lwr","Direct Effects",1431
"Male","60-64","lwr","Direct Effects",2136
"Male","65-69","lwr","Direct Effects",2989
"Male","70-74","lwr","Direct Effects",4890
"Male","75-79","lwr","Direct Effects",6832
"Male","80-84","lwr","Direct Effects",8881
"Male","85-89","lwr","Direct Effects",8633
"Male","90+","lwr","Direct Effects",7156
"Male","<1","lwr","Indirect Effects",-558
"Male","1-4","lwr","Indirect Effects",-26
"Male","5-9","lwr","Indirect Effects",-25
"Male","10-14","lwr","Indirect Effects",-118
"Male","15-19","lwr","Indirect Effects",-159
"Male","20-24","lwr","Indirect Effects",-378
"Male","25-29","lwr","Indirect Effects",-360
"Male","30-34","lwr","Indirect Effects",-335
"Male","35-39","lwr","Indirect Effects",-204
"Male","40-44","lwr","Indirect Effects",115
"Male","45-49","lwr","Indirect Effects",-20
"Male","50-54","lwr","Indirect Effects",-167
"Male","55-59","lwr","Indirect Effects",77
"Male","60-64","lwr","Indirect Effects",13
"Male","65-69","lwr","Indirect Effects",-230
"Male","70-74","lwr","Indirect Effects",-3017
"Male","75-79","lwr","Indirect Effects",-1103
"Male","80-84","lwr","Indirect Effects",-3999
"Male","85-89","lwr","Indirect Effects",-3476
"Male","90+","lwr","Indirect Effects",-3969
"Male","<1","lwr","Net Effects",-556
"Male","1-4","lwr","Net Effects",-26
"Male","5-9","lwr","Net Effects",-25
"Male","10-14","lwr","Net Effects",-114
"Male","15-19","lwr","Net Effects",-153
"Male","20-24","lwr","Net Effects",-359
"Male","25-29","lwr","Net Effects",-316
"Male","30-34","lwr","Net Effects",-267
"Male","35-39","lwr","Net Effects",-94
"Male","40-44","lwr","Net Effects",338
"Male","45-49","lwr","Net Effects",406
"Male","50-54","lwr","Net Effects",639
"Male","55-59","lwr","Net Effects",1508
"Male","60-64","lwr","Net Effects",2149
"Male","65-69","lwr","Net Effects",2759
"Male","70-74","lwr","Net Effects",1873
"Male","75-79","lwr","Net Effects",5729
"Male","80-84","lwr","Net Effects",4882
"Male","85-89","lwr","Net Effects",5157
"Male","90+","lwr","Net Effects",3187
"Male","<1","upr","Direct Effects",2
"Male","1-4","upr","Direct Effects",0
"Male","5-9","upr","Direct Effects",0
"Male","10-14","upr","Direct Effects",4
"Male","15-19","upr","Direct Effects",6
"Male","20-24","upr","Direct Effects",19
"Male","25-29","upr","Direct Effects",44
"Male","30-34","upr","Direct Effects",68
"Male","35-39","upr","Direct Effects",110
"Male","40-44","upr","Direct Effects",223
"Male","45-49","upr","Direct Effects",426
"Male","50-54","upr","Direct Effects",806
"Male","55-59","upr","Direct Effects",1431
"Male","60-64","upr","Direct Effects",2136
"Male","65-69","upr","Direct Effects",2989
"Male","70-74","upr","Direct Effects",4890
"Male","75-79","upr","Direct Effects",6832
"Male","80-84","upr","Direct Effects",8881
"Male","85-89","upr","Direct Effects",8633
"Male","90+","upr","Direct Effects",7156
"Male","<1","upr","Indirect Effects",322
"Male","1-4","upr","Indirect Effects",49
"Male","5-9","upr","Indirect Effects",76
"Male","10-14","upr","Indirect Effects",4
"Male","15-19","upr","Indirect Effects",147
"Male","20-24","upr","Indirect Effects",196
"Male","25-29","upr","Indirect Effects",106
"Male","30-34","upr","Indirect Effects",310
"Male","35-39","upr","Indirect Effects",399
"Male","40-44","upr","Indirect Effects",835
"Male","45-49","upr","Indirect Effects",652
"Male","50-54","upr","Indirect Effects",879
"Male","55-59","upr","Indirect Effects",933
"Male","60-64","upr","Indirect Effects",1305
"Male","65-69","upr","Indirect Effects",3459
"Male","70-74","upr","Indirect Effects",1785
"Male","75-79","upr","Indirect Effects",4007
"Male","80-84","upr","Indirect Effects",2428
"Male","85-89","upr","Indirect Effects",3938
"Male","90+","upr","Indirect Effects",3684
"Male","<1","upr","Net Effects",324
"Male","1-4","upr","Net Effects",49
"Male","5-9","upr","Net Effects",76
"Male","10-14","upr","Net Effects",8
"Male","15-19","upr","Net Effects",153
"Male","20-24","upr","Net Effects",215
"Male","25-29","upr","Net Effects",150
"Male","30-34","upr","Net Effects",378
"Male","35-39","upr","Net Effects",509
"Male","40-44","upr","Net Effects",1058
"Male","45-49","upr","Net Effects",1078
"Male","50-54","upr","Net Effects",1685
"Male","55-59","upr","Net Effects",2364
"Male","60-64","upr","Net Effects",3441
"Male","65-69","upr","Net Effects",6448
"Male","70-74","upr","Net Effects",6675
"Male","75-79","upr","Net Effects",10839
"Male","80-84","upr","Net Effects",11309
"Male","85-89","upr","Net Effects",12571
"Male","90+","upr","Net Effects",10840
"Total","<1","fit","Direct Effects",2
"Total","1-4","fit","Direct Effects",1
"Total","5-9","fit","Direct Effects",1
"Total","10-14","fit","Direct Effects",5
"Total","15-19","fit","Direct Effects",11
"Total","20-24","fit","Direct Effects",34
"Total","25-29","fit","Direct Effects",70
"Total","30-34","fit","Direct Effects",117
"Total","35-39","fit","Direct Effects",195
"Total","40-44","fit","Direct Effects",369
"Total","45-49","fit","Direct Effects",694
"Total","50-54","fit","Direct Effects",1284
"Total","55-59","fit","Direct Effects",2186
"Total","60-64","fit","Direct Effects",3241
"Total","65-69","fit","Direct Effects",4596
"Total","70-74","fit","Direct Effects",7633
"Total","75-79","fit","Direct Effects",11066
"Total","80-84","fit","Direct Effects",15374
"Total","85-89","fit","Direct Effects",16547
"Total","90+","fit","Direct Effects",17404
"Total","<1","fit","Indirect Effects",-129
"Total","1-4","fit","Indirect Effects",-29
"Total","5-9","fit","Indirect Effects",-23
"Total","10-14","fit","Indirect Effects",-48
"Total","15-19","fit","Indirect Effects",14
"Total","20-24","fit","Indirect Effects",-170
"Total","25-29","fit","Indirect Effects",-158
"Total","30-34","fit","Indirect Effects",-20
"Total","35-39","fit","Indirect Effects",219
"Total","40-44","fit","Indirect Effects",676
"Total","45-49","fit","Indirect Effects",384
"Total","50-54","fit","Indirect Effects",731
"Total","55-59","fit","Indirect Effects",633
"Total","60-64","fit","Indirect Effects",730
"Total","65-69","fit","Indirect Effects",2767
"Total","70-74","fit","Indirect Effects",-985
"Total","75-79","fit","Indirect Effects",2801
"Total","80-84","fit","Indirect Effects",-889
"Total","85-89","fit","Indirect Effects",2214
"Total","90+","fit","Indirect Effects",3517
"Total","<1","fit","Net Effects",-127
"Total","1-4","fit","Net Effects",-28
"Total","5-9","fit","Net Effects",-22
"Total","10-14","fit","Net Effects",-43
"Total","15-19","fit","Net Effects",25
"Total","20-24","fit","Net Effects",-136
"Total","25-29","fit","Net Effects",-88
"Total","30-34","fit","Net Effects",97
"Total","35-39","fit","Net Effects",414
"Total","40-44","fit","Net Effects",1045
"Total","45-49","fit","Net Effects",1078
"Total","50-54","fit","Net Effects",2015
"Total","55-59","fit","Net Effects",2819
"Total","60-64","fit","Net Effects",3971
"Total","65-69","fit","Net Effects",7363
"Total","70-74","fit","Net Effects",6648
"Total","75-79","fit","Net Effects",13867
"Total","80-84","fit","Net Effects",14485
"Total","85-89","fit","Net Effects",18761
"Total","90+","fit","Net Effects",20921
"Total","<1","lwr","Direct Effects",2
"Total","1-4","lwr","Direct Effects",1
"Total","5-9","lwr","Direct Effects",1
"Total","10-14","lwr","Direct Effects",5
"Total","15-19","lwr","Direct Effects",11
"Total","20-24","lwr","Direct Effects",34
"Total","25-29","lwr","Direct Effects",70
"Total","30-34","lwr","Direct Effects",117
"Total","35-39","lwr","Direct Effects",195
"Total","40-44","lwr","Direct Effects",369
"Total","45-49","lwr","Direct Effects",694
"Total","50-54","lwr","Direct Effects",1284
"Total","55-59","lwr","Direct Effects",2186
"Total","60-64","lwr","Direct Effects",3241
"Total","65-69","lwr","Direct Effects",4596
"Total","70-74","lwr","Direct Effects",7633
"Total","75-79","lwr","Direct Effects",11066
"Total","80-84","lwr","Direct Effects",15374
"Total","85-89","lwr","Direct Effects",16547
"Total","90+","lwr","Direct Effects",17404
"Total","<1","lwr","Indirect Effects",-589
"Total","1-4","lwr","Indirect Effects",-109
"Total","5-9","lwr","Indirect Effects",-120
"Total","10-14","lwr","Indirect Effects",-122
"Total","15-19","lwr","Indirect Effects",-207
"Total","20-24","lwr","Indirect Effects",-541
"Total","25-29","lwr","Indirect Effects",-487
"Total","30-34","lwr","Indirect Effects",-455
"Total","35-39","lwr","Indirect Effects",-183
"Total","40-44","lwr","Indirect Effects",247
"Total","45-49","lwr","Indirect Effects",-180
"Total","50-54","lwr","Indirect Effects",148
"Total","55-59","lwr","Indirect Effects",-512
"Total","60-64","lwr","Indirect Effects",-516
"Total","65-69","lwr","Indirect Effects",-378
"Total","70-74","lwr","Indirect Effects",-4470
"Total","75-79","lwr","Indirect Effects",-1377
"Total","80-84","lwr","Indirect Effects",-8638
"Total","85-89","lwr","Indirect Effects",-8172
"Total","90+","lwr","Indirect Effects",-11276
"Total","<1","lwr","Net Effects",-587
"Total","1-4","lwr","Net Effects",-108
"Total","5-9","lwr","Net Effects",-119
"Total","10-14","lwr","Net Effects",-117
"Total","15-19","lwr","Net Effects",-196
"Total","20-24","lwr","Net Effects",-507
"Total","25-29","lwr","Net Effects",-417
"Total","30-34","lwr","Net Effects",-338
"Total","35-39","lwr","Net Effects",12
"Total","40-44","lwr","Net Effects",616
"Total","45-49","lwr","Net Effects",514
"Total","50-54","lwr","Net Effects",1432
"Total","55-59","lwr","Net Effects",1674
"Total","60-64","lwr","Net Effects",2725
"Total","65-69","lwr","Net Effects",4218
"Total","70-74","lwr","Net Effects",3163
"Total","75-79","lwr","Net Effects",9689
"Total","80-84","lwr","Net Effects",6736
"Total","85-89","lwr","Net Effects",8375
"Total","90+","lwr","Net Effects",6128
"Total","<1","upr","Direct Effects",2
"Total","1-4","upr","Direct Effects",1
"Total","5-9","upr","Direct Effects",1
"Total","10-14","upr","Direct Effects",5
"Total","15-19","upr","Direct Effects",11
"Total","20-24","upr","Direct Effects",34
"Total","25-29","upr","Direct Effects",70
"Total","30-34","upr","Direct Effects",117
"Total","35-39","upr","Direct Effects",195
"Total","40-44","upr","Direct Effects",369
"Total","45-49","upr","Direct Effects",694
"Total","50-54","upr","Direct Effects",1284
"Total","55-59","upr","Direct Effects",2186
"Total","60-64","upr","Direct Effects",3241
"Total","65-69","upr","Direct Effects",4596
"Total","70-74","upr","Direct Effects",7633
"Total","75-79","upr","Direct Effects",11066
"Total","80-84","upr","Direct Effects",15374
"Total","85-89","upr","Direct Effects",16547
"Total","90+","upr","Direct Effects",17404
"Total","<1","upr","Indirect Effects",332
"Total","1-4","upr","Indirect Effects",50
"Total","5-9","upr","Indirect Effects",73
"Total","10-14","upr","Indirect Effects",26
"Total","15-19","upr","Indirect Effects",236
"Total","20-24","upr","Indirect Effects",201
"Total","25-29","upr","Indirect Effects",171
"Total","30-34","upr","Indirect Effects",414
"Total","35-39","upr","Indirect Effects",622
"Total","40-44","upr","Indirect Effects",1104
"Total","45-49","upr","Indirect Effects",949
"Total","50-54","upr","Indirect Effects",1313
"Total","55-59","upr","Indirect Effects",1779
"Total","60-64","upr","Indirect Effects",1976
"Total","65-69","upr","Indirect Effects",5912
"Total","70-74","upr","Indirect Effects",2500
"Total","75-79","upr","Indirect Effects",6979
"Total","80-84","upr","Indirect Effects",6860
"Total","85-89","upr","Indirect Effects",12600
"Total","90+","upr","Indirect Effects",18310
"Total","<1","upr","Net Effects",334
"Total","1-4","upr","Net Effects",51
"Total","5-9","upr","Net Effects",74
"Total","10-14","upr","Net Effects",31
"Total","15-19","upr","Net Effects",247
"Total","20-24","upr","Net Effects",235
"Total","25-29","upr","Net Effects",241
"Total","30-34","upr","Net Effects",531
"Total","35-39","upr","Net Effects",817
"Total","40-44","upr","Net Effects",1473
"Total","45-49","upr","Net Effects",1643
"Total","50-54","upr","Net Effects",2597
"Total","55-59","upr","Net Effects",3965
"Total","60-64","upr","Net Effects",5217
"Total","65-69","upr","Net Effects",10508
"Total","70-74","upr","Net Effects",10133
"Total","75-79","upr","Net Effects",18045
"Total","80-84","upr","Net Effects",22234
"Total","85-89","upr","Net Effects",29147
"Total","90+","upr","Net Effects",35714
